,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
44,Airplane!,PG,Comedy,7.7,Robert Hays,3500000,88,3000000,D
152,The Blues Brothers,R,Action,7.9,John Belushi,27000000,133,2000000,D
183,The Long Riders,R,Biography,7,David Carradine,10000000,100,500000,D
318,Somewhere in Time,PG,Drama,7.2,Christopher Reeve,5100000,103,3000000,D
524,The Fog,R,Horror,6.8,Adrienne Barbeau,1000000,89,5000000,D
1036,Cattle Annie and Little Britches,PG,Drama,6.1,Scott Glenn,5100000,97,4000000,D
1758,Melvin and Howard,R,Comedy,6.8,Paul Le Mat,7000000,95,10000000,D
2312,Phobia,R,Drama,4,Paul Michael Glaser,5100000,94,4000000,D
2620,An American Werewolf in London,R,Comedy,7.5,David Naughton,10000000,97,4000000,D
2646,The Evil Dead,NC-17,Horror,7.5,Bruce Campbell,350000,85,10000000,D
3114,The Cannonball Run,PG,Action,6.2,Burt Reynolds,18000000,95,3000000,D
3645,The Fox and the Hound,G,Animation,7.3,Mickey Rooney,12000000,83,20000,D
3658,Chariots of Fire,PG,Biography,7.2,Ben Cross,5500000,125,4000000,D
3895,The Howling,R,Horror,6.6,Dee Wallace,1000000,91,500000,D
3940,Dragonslayer,PG,Action,6.7,Peter MacNicol,18000000,109,5000000,D
4530,Neighbors,R,Comedy,5.6,John Belushi,8500000,94,2000000,D
5108,Wolfen,R,Horror,6.3,Albert Finney,17000000,115,10000000,D
5148,Prince of the City,R,Crime,7.5,Treat Williams,8600000,167,10000000,D
5551,Eyes of a Stranger,R,Horror,6,Lauren Tewes,800000,84,2000000,D
5607,Carbon Copy,PG,Comedy,5.6,George Segal,6000000,92,10000000,D
5856,Sphinx,PG,Adventure,5.2,Lesley-Anne Down,14000000,118,10000000,D
6091,Heartbeeps,PG,Comedy,4.3,Andy Kaufman,12000000,78,3000000,D
6152,Take This Job and Shove It,PG,Comedy,5,Robert Hays,3500000,100,3000000,D
6179,Whose Life Is It Anyway?,R,Comedy,7.3,Richard Dreyfuss,13000000,119,5000000,D
6343,Honky Tonk Freeway,PG,Action,5.2,David Rasche,24000000,107,3000000,D
6377,King of the Mountain,PG,Action,5.5,Harry Hamlin,2000000,90,10000000,D
6414,Scream,R,Horror,7.3,Neve Campbell,14000000,111,10000000,D
6754,E.T. the Extra-Terrestrial,PG,Family,7.8,Henry Thomas,10500000,115,1500000,D
6830,Annie,PG,Comedy,6.6,Aileen Quinn,50000000,127,500000,D
7832,The Beastmaster,PG,Action,6.2,Marc Singer,8000000,118,5000000,D
7840,Creepshow,R,Comedy,6.9,Hal Holbrook,8000000,120,5000000,D
7937,Halloween III: Season of the Witch,R,Horror,5,Tom Atkins,2500000,98,500000,D
8386,The Best Little Whorehouse in Texas,R,Comedy,6,Burt Reynolds,35000000,114,3000000,D
8756,The Entity,R,Drama,6.7,Barbara Hershey,9000000,125,12000000,D
8885,Megaforce,PG,Action,3.7,Barry Bostwick,20000000,99,3000000,D
9684,The Final Option,R,Action,6.4,Lewis Collins,6000000,125,5000000,D
9691,Trail of the Pink Panther,PG,Comedy,5,Peter Sellers,6000000,96,10000000,D
9844,Best Friends,PG,Comedy,5.5,Burt Reynolds,15000000,116,3000000,D
10053,Shoot the Moon,R,Drama,6.9,Albert Finney,12000000,124,10000000,D
10412,The Soldier,R,Action,5.3,Ken Wahl,4000000,96,500000,D
11353,The Outsiders,PG,Crime,7.1,C. Thomas Howell,10000000,91,4000000,D
11515,Superman III,PG,Action,5,Christopher Reeve,39000000,125,3000000,D
11525,The Big Chill,R,Comedy,7.2,Tom Berenger,8000000,105,8000000,D
11614,Flashdance,R,Drama,6.2,Jennifer Beals,4000000,95,8000000,D
11635,The Right Stuff,PG,Adventure,7.8,Sam Shepard,27000000,193,10000000,D
11803,Videodrome,R,Horror,7.2,James Woods,5952000,87,10000000,D
11842,A Christmas Story,PG,Comedy,7.9,Peter Billingsley,3300000,93,12000000,D
11880,Cujo,R,Horror,6.1,Dee Wallace,5000000,93,500000,D
12328,The Keep,R,Drama,5.7,Scott Glenn,11000000,96,4000000,D
12456,The Meaning of Life,R,Comedy,7.5,John Cleese,9000000,107,10000000,D
13641,Spacehunter: Adventures in the Forbidden Zone,PG,Action,5.5,Peter Strauss,14400000,90,5000000,D
13700,Hercules,PG,Adventure,4,Lou Ferrigno,2500000,98,12000000,D
14074,Revenge of the Ninja,R,Action,6.1,Shô Kosugi,700000,90,6000000,D
14276,Of Unknown Origin,R,Horror,6.1,Peter Weller,4000000,88,8000000,D
14292,D.C. Cab,R,Action,5.5,Max Gail,8000000,100,6000000,D
14300,The Survivors,R,Comedy,5.8,Walter Matthau,12000000,103,10000000,D
14423,The Man Who Loved Women,R,Comedy,5.3,Burt Reynolds,19000000,110,3000000,D
14983,Running Brave,PG,Biography,6.7,Robby Benson,8000000,106,2000000,D
15256,Trenchcoat,PG,Comedy,5.3,Margot Kidder,5000000,91,300000,D
15531,Dune,PG-13,Action,6.5,Kyle MacLachlan,40000000,137,3000000,D
15614,The Karate Kid,PG,Action,7.3,Ralph Macchio,8000000,126,4000000,D
15718,A Nightmare on Elm Street,R,Horror,7.5,Heather Langenkamp,1800000,91,1500000,D
15766,Amadeus,PG,Biography,8.3,F. Murray Abraham,18000000,160,10000000,D
15864,The NeverEnding Story,PG,Adventure,7.4,Noah Hathaway,27000000,102,2000000,D
15920,Revenge of the Nerds,R,Comedy,6.6,Robert Carradine,8000000,90,300000,D
15944,Gremlins,PG,Comedy,7.3,Zach Galligan,11000000,106,500000,D
15963,Streets of Fire,PG,Action,6.7,Michael Paré,14500000,93,2000000,D
15979,Sixteen Candles,PG,Comedy,7,Molly Ringwald,6500000,93,11000000,D
16054,Children of the Corn,R,Horror,5.6,Peter Horton,800000,92,3000000,D
16227,Against All Odds,R,Action,5.9,Rachel Ward,13000000,128,10000000,D
16285,Supergirl,PG,Action,4.4,Helen Slater,35000000,124,3000000,D
16386,C.H.U.D.,R,Horror,5.6,John Heard,1250000,88,3500000,D
16728,Repo Man,R,Action,6.9,Harry Dean Stanton,1500000,92,10000000,D
16805,Night of the Comet,PG-13,Comedy,6.4,Catherine Mary Stewart,700000,95,3000000,D
16907,The Philadelphia Experiment,PG,Adventure,6.1,Michael Paré,21000000,102,2000000,D
16987,Cannonball Run II,PG,Action,5.1,Burt Reynolds,20000000,108,3000000,D
17009,The Ice Pirates,PG,Action,5.7,Robert Urich,9000000,91,3000000,D
17017,A Passage to India,PG,Adventure,7.3,Judy Davis,16000000,164,5000000,D
17026,Purple Rain,R,Drama,6.5,Prince,7200000,111,500000,D
17317,Sheena,PG,Adventure,4.9,Tanya Roberts,25000000,117,10000000,D
17346,"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,6.4,Christopher Lambert,30000000,143,5000000,D
17426,Birdy,R,Drama,7.3,Matthew Modine,12000000,120,10000000,D
17484,The Pope of Greenwich Village,R,Action,6.7,Eric Roberts,8000000,121,8000000,D
17901,Beat Street,PG,Drama,6.5,Rae Dawn Chong,9500000,105,4000000,D
18012,Firstborn,R,Drama,6.2,Teri Garr,8000000,103,4000000,D
18523,Lust in the Dust,R,Comedy,6.4,Tab Hunter,3000000,84,10000000,D
18547,Thief of Hearts,Not Rated,Crime,5.8,Steven Bauer,9000000,100,5000000,D
18575,The Brother from Another Planet,R,Comedy,6.8,Joe Morton,350000,108,4000000,D
18922,Impulse,R,Horror,5.9,Tim Matheson,10000000,91,7000000,D
19430,Finders Keepers,R,Comedy,5.4,Michael O'Keefe,7000000,96,2000000,D
19763,Mike's Murder,R,Drama,5.8,Debra Winger,6300000,109,8000000,D
20375,Almost You,R,Comedy,5.1,Brooke Adams,1000000,96,10000000,D
20383,The Adventures of Pinocchio,G,Adventure,5.2,Martin Landau,25000000,96,10000000,D
20415,Weird Science,PG-13,Comedy,6.6,Anthony Michael Hall,7500000,94,8000000,D
20436,The Goonies,PG,Adventure,7.8,Sean Astin,19000000,114,10000000,D
20539,Cocoon,PG-13,Comedy,6.7,Don Ameche,17500000,117,10000000,D
20917,The Return of the Living Dead,R,Comedy,7.3,Clu Gulager,4000000,91,10000000,D
20934,Brazil,R,Drama,7.9,Jonathan Pryce,15000000,132,5000000,D
21280,Fright Night,R,Fantasy,7.1,Chris Sarandon,9000000,106,5000000,D
21376,After Hours,R,Comedy,7.7,Griffin Dunne,4500000,97,6000000,D
21803,Lifeforce,R,Action,6.2,Steve Railsback,25000000,101,2000000,D
21813,Pee-wee's Big Adventure,PG,Adventure,7,Paul Reubens,6000000,91,5000000,D
21893,House,R,Comedy,6.2,William Katt,3000000,93,500000,D
22043,The Last Dragon,PG-13,Action,6.9,Taimak,10000000,109,400000,D
22158,Once Bitten,PG-13,Comedy,5.5,Lauren Hutton,3200000,94,10000000,D
22494,Silver Bullet,R,Horror,6.4,Gary Busey,7000000,95,500000,D
22529,Smooth Talk,PG-13,Drama,6.5,Treat Williams,2400000,92,10000000,D
22545,Year of the Dragon,R,Action,6.9,Mickey Rourke,24000000,134,10000000,D
22921,American Warrior,R,Action,5.5,Michael Dudikoff,1000000,95,1500000,D
22966,Desert Hearts,R,Drama,7,Helen Shaver,1250000,91,10000000,D
23465,Crimewave,PG-13,Comedy,5.7,Louise Lasser,3000000,83,1500000,D
23824,Stick,R,Action,5.7,Burt Reynolds,22000000,109,3000000,D
24534,The Care Bears Movie,G,Animation,5.7,Georgia Engel,2000000,77,8000000,D
25102,Rappin',PG,Drama,4.1,Mario Van Peebles,2000000,92,12000000,D
25699,Stand by Me,R,Adventure,8.1,Wil Wheaton,8000000,89,500000,D
25863,Highlander,R,Action,7.1,Christopher Lambert,16000000,116,5000000,D
25919,Pretty in Pink,PG-13,Comedy,6.8,Molly Ringwald,9000000,97,11000000,D
25939,Platoon,R,Drama,8.1,Charlie Sheen,6000000,120,10000000,D
26038,Little Shop of Horrors,PG-13,Comedy,7,Rick Moranis,25000000,94,10000000,D
26083,River's Edge,R,Crime,7,Crispin Glover,1900000,99,3500000,D
26102,9½ Weeks,R,Drama,6,Mickey Rourke,17000000,117,10000000,D
26137,Short Circuit,PG,Comedy,6.7,Ally Sheedy,15000000,98,6000000,D
26223,The Wraith,PG-13,Action,6,Charlie Sheen,2700000,93,10000000,D
26280,Flight of the Navigator,PG,Adventure,6.9,Joey Cramer,9000000,90,200000,D
26687,Lucas,PG-13,Comedy,6.9,Corey Haim,6000000,100,5000,D
26730,Back to School,PG-13,Comedy,6.6,Rodney Dangerfield,11000000,96,10000000,D
26810,Critters,PG-13,Comedy,6.1,Dee Wallace,2000000,86,500000,D
26885,Henry: Portrait of a Serial Killer,Unrated,Biography,7,Michael Rooker,111000,83,8000000,D
26940,Night of the Creeps,R,Comedy,6.8,Jason Lively,5000000,88,2000000,D
27269,The Great Mouse Detective,G,Animation,7.2,Vincent Price,14000000,74,5000000,D
28652,Invaders from Mars,PG,Horror,5.6,Karen Black,12000000,100,10000000,D
28780,Pirates,PG-13,Action,6.1,Walter Matthau,40000000,121,10000000,D
28932,F/X,R,Action,6.7,Bryan Brown,10000000,109,10000000,D
29386,Band of the Hand,R,Action,6.2,Stephen Lang,8700000,109,5000000,D
29394,Vamp,R,Comedy,5.9,Chris Makepeace,3300000,93,200000,D
30415,Avenging Force,R,Action,5.8,Michael Dudikoff,4000000,104,1500000,D
30423,Heat,R,Action,5.6,Burt Reynolds,17000000,101,3000000,D
31059,Tai-Pan,R,Adventure,5.6,Bryan Brown,25000000,127,10000000,D
31244,Blue City,R,Action,4.4,Judd Nelson,10000000,83,4000000,D
31561,Born American,R,Action,4.1,Mike Norris,3401376,95,3000000,D
31900,The Princess Bride,PG,Adventure,8.1,Cary Elwes,16000000,98,8000000,D
31955,Full Metal Jacket,R,Drama,8.3,Matthew Modine,30000000,116,10000000,D
31990,RoboCop,R,Action,7.5,Peter Weller,13000000,102,8000000,D
32114,Adventures in Babysitting,PG-13,Adventure,6.9,Elisabeth Shue,7000000,102,12500000,D
32222,Near Dark,R,Action,7,Adrian Pasdar,5000000,94,10000000,D
32234,Mannequin,PG,Comedy,5.9,Andrew McCarthy,6000000,90,12000000,D
32635,Black Widow,R,Crime,6.4,Debra Winger,10500000,102,8000000,D
32802,Angel Heart,X,Horror,7.3,Mickey Rourke,17000000,113,10000000,D
32844,Wall Street,R,Crime,7.4,Charlie Sheen,15000000,126,10000000,D
32890,A Nightmare on Elm Street 3: Dream Warriors,R,Fantasy,6.6,Heather Langenkamp,4500000,96,1500000,D
33000,Superman IV: The Quest for Peace,PG,Action,3.7,Christopher Reeve,17000000,90,3000000,D
33032,Evil Dead II,R,Comedy,7.7,Bruce Campbell,3600000,84,10000000,D
33086,The Living Daylights,PG,Action,6.7,Timothy Dalton,40000000,130,10000000,D
33182,La Bamba,PG-13,Biography,6.9,Lou Diamond Phillips,6500000,108,6000000,D
33207,Prince of Darkness,R,Horror,6.7,Donald Pleasence,3000000,102,10000000,D
33258,Creepshow 2,R,Fantasy,6.1,George Kennedy,3500000,92,5000000,D
33596,Ernest Goes to Camp,PG,Comedy,5.5,Jim Varney,3500000,92,12000000,D
33682,The Hidden,R,Horror,7,Kyle MacLachlan,5000000,97,3000000,D
33755,Barfly,R,Comedy,7.2,Mickey Rourke,3000000,100,10000000,D
33788,Maid to Order,PG,Fantasy,5.5,Ally Sheedy,3000000,93,6000000,D
34427,No Man's Land,R,Crime,6.1,Charlie Sheen,8000000,106,10000000,D
35082,Three O'Clock High,PG-13,Comedy,7.1,Casey Siemaszko,6000000,101,500000,D
35280,The Pick-up Artist,PG-13,Comedy,5.3,Molly Ringwald,15000000,81,11000000,D
35298,Someone to Watch Over Me,R,Crime,6.1,Tom Berenger,12800000,106,8000000,D
35356,Matewan,PG-13,Drama,7.9,Chris Cooper,4000000,135,10000000,D
35512,Made in Heaven,PG,Comedy,6.4,Timothy Hutton,13000000,103,12000000,D
35565,Date with an Angel,PG,Comedy,5.7,Michael E. Knight,8000000,105,5000000,D
35764,Tin Men,R,Comedy,6.6,Richard Dreyfuss,11000000,112,5000000,D
35999,Street Smart,R,Crime,6.4,Christopher Reeve,5000000,97,3000000,D
36185,American Ninja 2: The Confrontation,R,Action,4.9,Michael Dudikoff,350000,90,1500000,D
36251,A Prayer for the Dying,R,Action,6.3,Mickey Rourke,6000000,107,10000000,D
36270,Rampage,R,Drama,6.2,Michael Biehn,7500000,97,8000000,D
36428,The Sicilian,R,Action,5.4,Christopher Lambert,9000000,115,5000000,D
36670,Hollywood Shuffle,R,Comedy,7,Robert Townsend,100000,78,2000000,D
36891,Malone,R,Action,5.7,Burt Reynolds,10000000,92,3000000,D
37373,Personal Services,R,Comedy,6.4,Julie Walters,19897678,105,2000000,D
37784,"Sister, Sister",R,Drama,5.4,Eric Stoltz,4000000,91,5000000,D
37863,Million Dollar Mystery,PG,Comedy,5.1,Eddie Deezen,10000000,95,500000,D
38853,Running on Empty,PG-13,Crime,7.7,River Phoenix,7000000,116,5000000,D
38928,They Live,R,Action,7.3,Roddy Piper,4000000,94,4000000,D
39019,Who Framed Roger Rabbit,PG,Animation,7.7,Bob Hoskins,70000000,104,3000000,D
39029,Mystic Pizza,R,Comedy,6.3,Annabeth Gish,6000000,104,4000000,D
39071,Child's Play,R,Fantasy,6.6,Catherine Hicks,9000000,87,3000000,D
39598,A Fish Called Wanda,R,Comedy,7.5,John Cleese,7500000,108,10000000,D
39727,The Accused,R,Crime,7.2,Kelly McGillis,13000000,111,4000000,D
39838,Hairspray,PG,Comedy,7,Sonny Bono,2000000,92,4000000,D
39934,The Blob,R,Horror,6.5,Shawnee Smith,19000000,95,3000000,D
39959,Oliver & Company,G,Animation,6.7,Joey Lawrence,31000000,74,250000,D
40058,Halloween 4: The Return of Michael Myers,R,Horror,5.9,Donald Pleasence,5000000,88,10000000,D
40157,License to Drive,PG-13,Comedy,6.3,Corey Haim,8000000,88,5000,D
40170,Hellbound: Hellraiser II,R,Horror,6.5,Doug Bradley,3000000,97,5000000,D
40435,Return of the Living Dead II,R,Comedy,5.8,James Karen,6200000,89,8000000,D
40442,The New Adventures of Pippi Longstocking,G,Adventure,5.9,Tami Erin,5000000,100,1000000,D
40474,Maniac Cop,R,Action,6,Tom Atkins,1100000,85,500000,D
40601,Waxwork,R,Comedy,6.2,Zach Galligan,3000000,95,500000,D
40642,Caddyshack II,PG,Comedy,3.8,Jackie Mason,20000000,98,9000000,D
40695,Johnny Be Good,R,Comedy,4.6,Anthony Michael Hall,22000000,91,8000000,D
40719,Short Circuit 2,PG,Comedy,5.7,Fisher Stevens,15000000,110,8000000,D
40826,Monkey Shines,R,Drama,6.2,Jason Beghe,7000000,113,9000000,D
41165,Action Jackson,R,Action,5.4,Carl Weathers,7000000,96,6000000,D
41233,The Beast of War,R,Adventure,7.3,George Dzundza,8000000,111,2000000,D
41241,Lady in White,PG-13,Fantasy,6.7,Lukas Haas,4700000,113,12000000,D
41316,Betrayed,R,Crime,6.3,Debra Winger,19000000,127,8000000,D
41600,Critters 2,PG-13,Comedy,5.5,Scott Grimes,4500000,86,5000000,D
41608,Dead Heat,R,Action,6,Treat Williams,5000000,86,10000000,D
41624,Talk Radio,R,Drama,7.3,Eric Bogosian,4000000,110,6000000,D
41763,The Milagro Beanfield War,R,Comedy,6.9,Rubén Blades,22000000,117,10000000,D
41821,Fresh Horses,PG-13,Drama,5.1,Molly Ringwald,14000000,105,11000000,D
42706,Cop,R,Crime,6.4,James Woods,3000000,110,10000000,D
43518,Shakedown,R,Action,6,Peter Weller,6000000,97,8000000,D
43590,Heartbreak Hotel,PG-13,Comedy,5.7,David Keith,13000000,97,1500000,D
44138,Spellbinder,R,Drama,5.8,Tim Daly,6000000,99,10000000,D
44227,Track 29,R,Drama,5.9,Theresa Russell,5000000,90,5000000,D
44241,Ernest Saves Christmas,PG,Comedy,5.6,Jim Varney,6000000,95,12000000,D
44268,Moon Over Parador,PG-13,Comedy,6,Richard Dreyfuss,20000000,103,5000000,D
44359,Apartment Zero,R,Drama,7,Hart Bochner,4000000,124,5000000,D
44514,The Little Mermaid,G,Animation,7.6,Jodi Benson,40000000,83,5000000,D
44690,The Abyss,PG-13,Adventure,7.5,Ed Harris,70000000,140,8000000,D
44740,Do the Right Thing,R,Comedy,8,Danny Aiello,6500000,120,6000000,D
44750,"Honey, I Shrunk the Kids",PG,Adventure,6.4,Rick Moranis,18000000,93,10000000,D
44822,Major League,R,Comedy,7.2,Tom Berenger,11000000,107,8000000,D
44859,Pet Sematary,R,Fantasy,6.6,Dale Midkiff,11500000,103,1000000,D
45064,License to Kill,PG-13,Action,6.6,Timothy Dalton,32000000,133,10000000,D
45148,Warlock,R,Action,6.2,Julian Sands,7000000,103,3000000,D
45616,All Dogs Go to Heaven,G,Animation,6.8,Dom DeLuise,13800000,84,9000000,D
45636,Always,PG,Drama,6.4,Richard Dreyfuss,31000000,122,5000000,D
45807,Leviathan,R,Adventure,5.8,Peter Weller,25000000,98,8000000,D
45919,Best of the Best,PG-13,Action,6.4,Eric Roberts,5000000,97,8000000,D
46009,Troop Beverly Hills,PG,Adventure,5.8,Shelley Long,18000000,105,10000000,D
46105,Halloween 5: The Revenge of Michael Myers,R,Horror,5.1,Donald Pleasence,5000000,96,10000000,D
46115,DeepStar Six,R,Action,5.4,Greg Evigan,8000000,99,1000000,D
46931,Crimes and Misdemeanors,PG-13,Comedy,7.9,Martin Landau,19000000,104,10000000,D
46946,Let It Ride,PG-13,Comedy,6.8,Richard Dreyfuss,18000000,90,5000000,D
47466,Johnny Handsome,R,Crime,6.1,Mickey Rourke,20000000,94,10000000,D
47499,Police Academy 6: City Under Siege,PG,Comedy,4.4,Bubba Smith,12000000,84,500000,D
47771,Stepfather II: Make Room for Daddy,R,Horror,5.7,Terry O'Quinn,1500000,93,8000000,D
47871,Parents,R,Comedy,6.1,Randy Quaid,3000000,81,-1000000,D
48017,Speed Zone,PG,Action,4.5,Peter Boyle,18000000,94,8000000,D
48697,Gross Anatomy,PG-13,Drama,6.1,Matthew Modine,8500000,109,10000000,D
49377,"Enemies, A Love Story",R,Comedy,6.6,Ron Silver,9500000,119,2000000,D
49394,Physical Evidence,R,Crime,5.1,Burt Reynolds,17000000,99,3000000,D
49447,Relentless,R,Crime,5.9,Judd Nelson,4000000,92,4000000,D
50245,Breaking In,R,Adventure,6.1,Burt Reynolds,6000000,94,3000000,D
50614,Teenage Mutant Ninja Turtles,PG,Action,6.8,Judith Hoag,13500000,93,4000000,D
50934,RoboCop 2,R,Action,5.8,Peter Weller,25000000,117,8000000,D
51115,Gremlins 2: The New Batch,PG-13,Comedy,6.4,Zach Galligan,50000000,106,500000,D
51818,Child's Play 2,R,Horror,5.9,Alex Vincent,13000000,84,400000,D
51833,Slacker,R,Comedy,7.1,Richard Linklater,23000,97,12000000,D
51911,Nightbreed,R,Action,6.5,Craig Sheffer,11000000,102,1000000,D
52088,Problem Child,PG,Comedy,5.4,Michael Oliver,10000000,81,100000,D
52169,House Party,R,Comedy,6.5,Christopher Reid,2500000,100,500000,D
52267,Night of the Living Dead,R,Horror,6.9,Tony Todd,4200000,92,10000000,D
53026,The NeverEnding Story II: The Next Chapter,PG,Adventure,5.2,Jonathan Brandis,36000000,89,400000,D
53166,Memphis Belle,PG-13,Action,6.9,Matthew Modine,23000000,107,10000000,D
53177,The Adventures of Ford Fairlane,R,Action,6.4,Andrew Dice Clay,20000000,104,10000000,D
53611,Navy Seals,R,Action,5.6,Charlie Sheen,20000000,113,10000000,D
53683,The Sheltering Sky,R,Adventure,6.8,Debra Winger,25000000,138,8000000,D
54111,Everybody Wins,R,Drama,5.1,Debra Winger,19000000,97,8000000,D
54190,Avalon,PG,Drama,7.2,Aidan Quinn,20000000,128,12000000,D
55011,The First Power,R,Crime,5.7,Lou Diamond Phillips,10000000,98,6000000,D
55019,Desperate Hours,R,Action,5.4,Mickey Rourke,18000000,105,10000000,D
55042,Cadence,PG-13,Drama,6.5,Charlie Sheen,4000000,97,10000000,D
55153,Ernest Goes to Jail,PG,Comedy,5.4,Jim Varney,9000000,81,12000000,D
55207,Mountains of the Moon,R,Adventure,7.2,Patrick Bergin,19000000,136,6000000,D
56199,Spaced Invaders,PG,Adventure,5.3,Douglas Barr,3000000,100,5000000,D
56453,Where the Heart Is,R,Comedy,6,Dabney Coleman,15000000,107,5000000,D
56537,Boiling Point,R,Action,5,Wesley Snipes,9000000,92,10000000,D
56753,The Last of the Finest,R,Action,5.8,Brian Dennehy,12000000,106,12000000,D
56827,Graffiti Bridge,PG-13,Drama,4.5,Prince,7500000,90,500000,D
57008,Tune in Tomorrow...,PG-13,Comedy,6.2,Barbara Hershey,11000000,107,12000000,D
57488,Beauty and the Beast,G,Animation,8,Paige O'Hara,25000000,84,4000000,D
57890,The Rocketeer,PG,Action,6.5,Billy Campbell,35000000,108,2500000,D
57913,My Girl,PG,Comedy,6.9,Anna Chlumsky,17000000,102,3000000,D
58071,Return to the Blue Lagoon,PG-13,Adventure,5.2,Brian Krause,11000000,102,500000,D
58098,My Own Private Idaho,R,Drama,7,River Phoenix,2500000,104,5000000,D
58114,Hot Shots!,PG-13,Action,6.8,Charlie Sheen,26000000,84,10000000,D
58189,Naked Lunch,R,Drama,7,Peter Weller,16000000,115,8000000,D
58203,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG,Action,6,Paige Turco,25000000,88,5000000,D
58288,New Jack City,R,Action,6.7,Wesley Snipes,8000000,97,10000000,D
58297,Toy Soldiers,R,Action,6.6,Sean Astin,10000000,111,10000000,D
58455,Highlander II: The Quickening,R,Action,4.2,Christopher Lambert,30000000,91,5000000,D
58465,Stone Cold,R,Action,6,Brian Bosworth,17000000,92,8000000,D
58512,Jungle Fever,R,Drama,6.6,Wesley Snipes,14000000,132,10000000,D
58547,Harley Davidson and the Marlboro Man,R,Action,6.1,Mickey Rourke,23000000,98,10000000,D
58758,Rush,R,Action,6.8,Jason Patric,17000000,120,3000000,D
59293,Necessary Roughness,PG-13,Comedy,6.2,Scott Bakula,13500000,108,10000000,D
59312,Cool as Ice,PG,Comedy,2.9,Vanilla Ice,6000000,91,12000000,D
59661,Shattered,R,Crime,6.5,Tom Berenger,22000000,98,8000000,D
60387,Shakes the Clown,R,Comedy,5.6,Bobcat Goldthwait,1400000,87,1200000,D
60844,House Party 2,R,Comedy,5.3,Christopher Reid,5000000,94,500000,D
60936,The Perfect Weapon,R,Action,6,Jeff Speakman,10000000,83,1000000,D
61237,F/X2,PG-13,Action,5.9,Bryan Brown,16400000,108,10000000,D
61303,Beastmaster 2: Through the Portal of Time,PG-13,Action,4.1,Marc Singer,6000000,107,5000000,D
61321,Eve of Destruction,R,Action,4.9,Gregory Hines,13000000,99,6000000,D
61679,At Play in the Fields of the Lord,R,Drama,6.8,Tom Berenger,36000000,189,8000000,D
61943,Bingo,PG,Adventure,4.9,Cindy Williams,10000000,89,10000000,D
62002,Body Parts,R,Horror,5.6,Jeff Fahey,10000000,88,5000000,D
62202,Once Around,R,Comedy,6.5,Richard Dreyfuss,16000000,115,5000000,D
62218,The Taking of Beverly Hills,R,Action,5.1,Ken Wahl,19000000,96,500000,D
62813,Closet Land,R,Drama,7.1,Madeleine Stowe,4000000,89,13000000,D
62939,Late for Dinner,PG,Drama,6.4,Peter Berg,14000000,99,10000000,D
63168,Candyman,R,Horror,6.6,Virginia Madsen,6000000,99,8000000,D
63630,Aladdin,G,Animation,8,Scott Weinger,28000000,90,6000000,D
63973,Army of Darkness,R,Comedy,7.5,Bruce Campbell,11000000,81,10000000,D
63981,A River Runs Through It,PG,Drama,7.2,Craig Sheffer,12000000,123,1000000,D
63990,Twin Peaks: Fire Walk with Me,R,Drama,7.3,Sheryl Lee,10000000,134,5000000,D
64092,Buffy the Vampire Slayer,PG-13,Action,5.7,Kristy Swanson,7000000,86,5000000,D
64121,Sleepwalkers,R,Fantasy,5.3,Brian Krause,15000000,91,500000,D
64267,The Hand That Rocks the Cradle,R,Drama,6.6,Annabella Sciorra,11700000,110,6000000,D
64398,The Lawnmower Man,R,Horror,5.4,Jeff Fahey,10000000,108,5000000,D
64540,Encino Man,PG,Comedy,5.8,Sean Astin,7000000,88,10000000,D
64571,American Me,R,Biography,7.2,Edward James Olmos,16000000,125,10000000,D
64602,Pet Sematary II,R,Fantasy,4.9,Edward Furlong,8000000,100,100000,D
64638,FernGully: The Last Rainforest,G,Animation,6.5,Samantha Mathis,24000000,76,4000000,D
64851,"Honey, I Blew Up the Kid",PG,Adventure,4.9,Rick Moranis,40000000,89,10000000,D
64888,Passenger 57,R,Action,5.9,Wesley Snipes,15000000,84,10000000,D
64930,Orlando,PG-13,Biography,7.2,Tilda Swinton,4000000,94,10000000,D
65299,The Power of One,PG-13,Drama,7.2,Stephen Dorff,18000000,127,12000000,D
65548,Fortress,R,Action,5.9,Christopher Lambert,8000000,95,5000000,D
65609,Mom and Dad Save the World,PG,Adventure,5.4,Teri Garr,14000000,88,4000000,D
65763,Class Act,PG-13,Comedy,6.1,Christopher Reid,7500000,98,500000,D
65859,Diggstown,R,Drama,7,James Woods,17000000,98,10000000,D
66166,Rapid Fire,R,Action,6.3,Brandon Lee,10000000,95,5000000,D
66203,Wind,PG-13,Action,6.4,Matthew Modine,29000000,126,10000000,D
66763,South Central,R,Crime,6.8,Glenn Plummer,4000000,98,800000,D
66891,Knight Moves,R,Crime,6.1,Christopher Lambert,9000000,116,5000000,D
66916,A Midnight Clear,R,Drama,7.2,Peter Berg,5000000,108,10000000,D
66974,Where the Day Takes You,R,Crime,6.6,Dermot Mulroney,3000000,105,11000000,D
66982,Passion Fish,R,Drama,7.4,Mary McDonnell,3330000,135,12000000,D
67178,The Mambo Kings,R,Drama,6.4,Armand Assante,15500000,104,10000000,D
